SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGZ,DMDHREDZ,DMDHRMAZ,DMDHSEDZ,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,gender_f,edu_f,language_f
93703,10,2,2,2,.,5,6,2,27,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,5,5,3,0,0,1,2,3,1,3,9246.491864820517,8539.7313482887,2,145,15,15,5,Female,College,English
93704,10,2,1,2,.,3,3,1,33,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,2,0,0,1,2,3,1,2,37338.768343138094,42566.61474982092,1,143,15,15,5,Male,College,English
93705,10,2,2,66,.,4,4,2,.,2,.,1,1,.,.,2,3,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,4,1,2,.,8614.571172412112,8338.419786183256,2,145,3,3,0.82,Female,<HS,English
93706,10,2,1,18,.,5,6,2,222,2,.,1,1,.,15,.,.,.,1,2,2,.,.,.,1,2,2,1,5,5,0,0,1,1,4,3,1,2,8548.632619274247,8723.439813888777,2,134,.,.,.,Male,College,English
93707,10,2,1,13,.,5,7,2,158,.,.,1,1,.,6,.,.,.,1,1,2,1,2,2,1,2,2,1,7,7,0,3,0,1,3,2,1,3,6769.344566669717,7064.609729997335,1,138,10,10,1.88,Male,HS,English
93708,10,2,2,66,.,5,6,2,.,2,.,2,1,7,.,1,1,.,1,2,1,1,2,2,1,2,1,3,2,2,0,0,2,1,4,1,1,1,13329.450588836913,14372.488764622429,2,138,6,6,1.63,Female,<HS,English
93709,10,2,2,75,.,4,4,1,.,2,.,1,1,.,.,4,2,.,1,2,2,1,2,2,.,.,.,.,1,1,0,0,1,2,4,2,2,.,12043.388271476193,12277.55666175854,1,136,2,2,0.41,Female,HS,English
93710,10,2,2,0,11,3,3,2,13,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,1,0,0,1,2,3,1,3,16418.298416099446,16848.020116860785,1,134,15,15,4.9,Female,College,English
93711,10,2,1,56,.,5,6,2,.,2,.,2,1,6,.,5,1,.,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,1,3,3,1,3,11178.260106418711,12390.919724445339,2,134,15,15,5,Male,College,English
93712,10,2,1,18,.,1,1,2,227,2,.,2,2,5,12,.,.,.,1,2,2,2,2,2,1,2,2,1,4,4,0,2,0,2,3,1,2,.,29040.49655806226,30336.65432467291,2,147,4,4,0.76,Male,<HS,English
93713,10,2,1,67,.,3,3,1,.,1,1,1,1,.,.,3,3,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,1,4,2,2,.,174806.5751516991,166841.66068113202,1,140,6,6,2.65,Male,HS,English
93714,10,2,2,54,.,4,4,2,.,2,.,1,1,.,.,4,1,.,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,1,3,2,1,2,15209.438644240941,15479.581198025919,1,147,7,7,1.86,Female,HS,English
93715,10,2,1,71,.,5,7,2,.,2,.,1,1,.,.,3,1,.,1,2,2,1,2,2,1,2,2,.,5,5,1,2,1,1,4,2,1,2,9402.255686589206,9250.904672245675,2,139,8,8,1.56,Male,HS,English
93716,10,2,1,61,.,5,6,1,.,2,.,2,1,7,.,5,1,.,1,2,2,1,2,2,1,2,2,1,3,3,0,0,1,1,4,3,1,3,11247.543424579322,11581.233540009765,1,143,15,15,5,Male,College,English
93717,10,2,1,22,.,3,3,2,.,1,2,1,1,.,.,3,5,.,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,1,2,.,3,.,53249.36796900775,60117.93606927737,1,145,.,4,1.49,Male,.,English
93718,10,2,1,45,.,4,4,1,.,2,.,1,1,.,.,3,5,.,1,1,2,1,2,2,1,1,2,.,7,7,3,1,0,2,3,2,2,.,20257.011462909675,19647.25054249482,1,144,10,10,1.18,Male,HS,English
93719,10,2,2,13,.,3,3,2,159,.,.,1,1,.,6,.,.,.,1,1,2,1,2,2,1,2,2,1,3,3,0,2,0,2,2,2,2,.,67836.64998415063,69916.12600327109,1,134,14,14,3.92,Female,HS,English
93720,10,2,2,1,21,4,4,1,21,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,1,0,0,2,2,2,1,.,8985.68851153356,9983.09634049173,1,136,14,14,4.77,Female,HS,English
93721,10,2,2,60,.,1,1,1,.,2,.,2,1,8,.,1,1,.,2,2,1,2,2,1,2,2,2,2,2,2,0,0,2,2,4,1,1,.,8224.936564889522,8589.051334950927,2,136,8,8,3.04,Female,<HS,Spanish
93722,10,2,2,60,.,3,3,1,.,2,.,2,1,5,.,4,3,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,4,2,2,.,132077.57617039848,126309.82327561924,1,139,6,6,2.07,Female,HS,English
93723,10,2,1,64,.,3,3,1,.,2,.,1,1,.,.,5,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,4,3,1,3,230745.71683624559,229129.236930365,1,140,9,9,3.69,Male,College,English
93724,10,2,2,5,.,4,4,1,61,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,7,7,2,3,1,2,4,1,1,2,11426.380360159861,12195.682662142188,2,144,4,4,0.42,Female,<HS,English
93725,10,2,2,9,.,3,3,1,110,.,.,1,1,.,2,.,.,.,1,1,2,1,2,2,1,2,2,.,4,4,0,2,0,1,3,3,1,3,125854.52005255109,139773.97538824228,1,139,15,15,5,Female,College,English
93726,10,2,2,67,.,1,1,1,.,2,.,2,1,8,.,1,2,.,2,2,2,2,2,2,2,2,2,2,1,1,0,0,1,2,4,1,2,.,5239.611270390427,5435.070517630158,2,148,5,5,1.85,Female,<HS,Spanish
93727,10,2,1,70,.,5,6,2,.,2,.,2,1,8,.,5,1,.,1,2,2,1,2,2,1,2,2,.,2,2,0,0,2,1,4,3,1,3,19991.60921815707,22181.212857530514,2,138,15,15,5,Male,College,English
93728,10,2,1,53,.,4,4,1,.,2,.,1,1,.,.,5,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,3,3,1,3,32014.317980767166,31532.90450868017,1,148,15,15,5,Male,College,English
93729,10,2,1,42,.,4,4,1,.,2,.,1,1,.,.,2,5,.,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,2,2,2,1,.,11759.62460415325,12103.883353651736,1,137,6,3,0.83,Male,HS,English
93730,10,2,1,57,.,2,2,2,.,2,.,2,1,9,.,2,2,.,2,2,2,1,2,2,.,.,.,.,1,1,0,0,0,1,3,1,2,.,27340.925152201806,28532.938080278447,1,138,77,77,.,Male,<HS,Spanish
93731,10,2,1,20,.,1,1,2,.,2,.,1,1,.,.,4,5,.,1,2,2,1,2,2,1,2,2,1,5,5,0,1,0,1,3,2,1,2,27213.909656835196,28081.133872204224,2,141,15,15,5,Male,HS,English
93732,10,2,1,72,.,3,3,2,.,2,.,1,1,.,.,3,3,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,1,4,2,2,.,11725.338741534939,12439.30105377186,2,141,3,3,1.13,Male,HS,English
93733,10,2,2,11,.,3,3,1,137,.,.,1,1,.,5,.,.,.,1,1,2,1,2,2,1,2,2,.,7,7,2,3,0,1,2,2,1,2,17265.999247849173,19070.072243171224,2,142,9,9,1.58,Female,HS,English
93734,10,1,1,13,.,3,3,.,.,.,.,1,1,.,7,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,0,1,0,2,3,2,1,.,20517.633870902213,0,1,142,10,10,3.33,Male,HS,English
93735,10,2,1,52,.,2,2,1,.,2,.,2,2,7,.,1,1,.,2,2,2,2,2,2,.,.,.,.,3,3,0,1,0,2,3,1,1,1,10609.728931867556,10706.381559611453,1,148,2,2,0.35,Male,<HS,Spanish
93736,10,2,1,11,.,1,1,2,135,.,.,1,1,.,5,.,.,.,1,1,2,1,2,2,1,2,2,.,4,4,0,2,0,1,2,2,1,2,19019.07867210417,19236.078492545166,1,135,12,12,.,Male,HS,English
93737,10,2,1,8,.,4,4,1,105,.,.,1,1,.,3,.,.,.,1,1,2,1,2,2,1,2,2,.,3,3,0,2,0,2,2,2,3,.,14253.761027909308,15418.48746254894,2,144,1,1,0.14,Male,HS,English
93738,10,2,1,26,.,2,2,2,.,2,.,1,1,.,.,4,5,.,1,2,2,1,2,2,1,2,2,1,6,6,0,3,0,1,2,2,1,1,59333.08166917864,59094.099399497674,1,134,15,15,5,Male,HS,English
93739,10,2,2,5,.,1,1,1,72,.,.,1,1,.,.,.,.,.,2,1,1,2,2,1,.,.,.,.,4,4,2,0,0,1,2,2,1,2,26762.13925847083,28437.991601421018,2,136,8,8,1.79,Female,HS,Spanish
93740,10,2,1,72,.,4,4,1,.,2,.,1,1,.,.,2,3,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,1,4,1,2,.,7568.712315328655,7721.816727164309,2,144,2,2,0.74,Male,<HS,English
93741,10,2,2,9,.,5,6,2,111,.,.,1,1,.,3,.,.,.,1,1,2,1,2,2,1,2,2,.,5,5,0,3,0,1,3,3,1,3,9761.107742313628,10425.896028530822,2,138,15,15,5,Female,College,English
93742,10,2,1,72,.,4,4,2,.,1,1,1,1,.,.,5,2,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,1,4,3,2,.,13375.69547140063,14084.026311368785,2,146,7,7,3.62,Male,College,English
93743,10,2,1,61,.,3,3,2,.,2,.,1,1,.,.,1,6,.,1,2,2,1,2,2,1,2,2,1,2,1,0,0,2,2,4,.,2,.,102288.7344611273,110345.67814209893,2,141,12,8,3.87,Male,.,English
93744,10,2,2,10,.,3,3,2,130,.,.,1,1,.,3,.,.,.,1,1,2,1,2,2,1,2,2,.,3,2,0,2,0,1,3,2,2,.,32424.003400274734,35375.37446183066,2,141,7,7,2.13,Female,HS,English
93745,10,2,1,5,.,5,6,2,64,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,5,5,2,0,1,1,3,2,1,2,9642.92675243485,9784.573587333076,1,138,4,4,0.56,Male,HS,English
93746,10,2,2,25,.,4,4,1,.,2,.,1,1,.,.,5,5,2,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,2,3,3,.,27134.674773167033,28801.635899811212,1,144,7,7,3.4,Female,College,English
93747,10,2,2,13,.,2,2,2,168,.,.,1,1,.,7,.,.,.,1,1,2,2,2,2,1,2,2,1,4,4,0,2,1,2,2,1,3,.,37624.88114358795,39261.723815802936,1,134,6,6,1.06,Female,<HS,English
93748,10,2,1,0,7,1,1,1,8,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,1,0,0,2,2,2,1,.,9961.52160558869,12859.361459423508,2,142,9,9,2.79,Male,HS,English
93749,10,2,2,1,19,3,3,2,19,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,7,7,2,3,0,1,2,1,1,2,12961.765329533968,14360.429921863824,2,141,3,3,0.29,Female,<HS,English
93750,10,1,2,52,.,5,6,.,.,2,.,2,1,6,.,5,1,.,1,2,2,1,2,2,.,.,.,.,2,2,0,0,0,1,3,3,1,3,13827.325799204798,0,2,134,15,15,5,Female,College,English
93751,10,2,2,7,.,1,1,1,92,.,.,1,1,.,1,.,.,.,2,1,2,2,2,2,.,.,.,.,6,6,2,2,0,2,2,1,1,1,39067.02510376001,49657.57262337194,2,144,1,1,0.04,Female,<HS,Spanish
93752,10,2,2,73,.,3,3,2,.,2,.,1,1,.,.,4,2,.,1,2,2,1,2,2,1,2,2,.,3,1,1,0,1,2,2,2,3,.,52415.998007459435,54611.198635327826,1,147,14,8,3.98,Female,HS,English
93753,10,2,2,10,.,3,3,1,132,.,.,1,1,.,4,.,.,.,1,1,2,1,2,2,1,2,2,.,5,5,0,3,0,2,3,2,1,2,26120.032367866697,27796.74137415366,2,142,10,10,2.21,Female,HS,English
93754,10,2,1,72,.,2,2,2,.,2,.,2,1,7,.,3,1,.,2,2,2,1,2,2,2,2,2,.,2,2,0,0,1,1,4,2,1,2,31838.404989816074,36811.17653474189,2,138,3,3,0.82,Male,HS,Spanish
93755,10,2,2,26,.,4,4,1,.,2,.,1,1,.,.,4,5,2,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,2,2,3,.,30922.126321038322,33269.927368906916,1,139,6,6,2.07,Female,HS,English
93756,10,2,2,64,.,4,4,1,.,2,.,1,1,.,.,5,1,.,1,2,2,.,.,.,.,.,.,.,3,3,0,0,2,1,4,1,1,3,6437.797585483824,6735.524014646291,2,148,.,.,.,Female,<HS,English
93757,10,2,1,63,.,3,3,2,.,1,1,1,1,.,.,4,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,4,2,1,2,96421.2508368301,99269.95780053953,1,142,7,7,2.59,Male,HS,English
93758,10,2,2,55,.,3,3,1,.,2,.,1,1,.,.,1,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,3,1,1,1,22936.83184451813,23938.5088723769,2,139,3,3,0.75,Female,<HS,English
93759,10,2,1,60,.,5,7,2,.,2,.,2,1,6,.,5,1,.,1,2,2,1,2,2,1,2,2,1,4,4,0,0,1,1,4,3,1,3,199178.581577205,212848.25129073783,2,134,12,12,.,Male,College,English
93760,10,2,2,54,.,1,1,2,.,2,.,2,2,5,.,1,5,.,2,2,2,.,.,.,2,2,2,2,2,2,0,0,0,2,3,1,3,.,23824.554421266173,23665.855430563726,2,147,.,.,.,Female,<HS,Spanish
93761,10,2,1,44,.,5,6,2,.,2,.,2,1,3,.,4,1,.,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,3,2,1,1,18939.450470617317,19910.093202470365,2,145,6,6,1,Male,HS,English
93762,10,2,2,74,.,1,1,1,.,2,.,1,1,.,.,3,2,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,2,4,2,2,.,23713.147864763952,26249.5863550351,1,137,3,3,1,Female,HS,English
93763,10,2,1,40,.,3,3,2,.,1,1,1,1,.,.,3,1,.,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,2,3,2,1,2,103670.35667961049,100887.85935104142,1,141,14,14,3.25,Male,HS,English
93764,10,2,2,1,16,3,3,2,16,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,1,0,0,2,2,1,1,1,12885.77252959894,12819.558622854967,1,142,6,6,1.67,Female,<HS,English
93765,10,2,1,19,.,3,3,1,231,2,.,1,1,.,13,.,.,.,1,1,2,1,2,2,1,2,2,1,7,7,2,0,0,2,2,2,1,2,74509.25793688612,75727.27158985987,2,142,14,14,2.01,Male,HS,English
93766,10,2,2,36,.,2,2,1,.,2,.,2,2,4,.,2,3,2,2,2,2,2,2,2,1,2,2,2,4,4,0,2,0,2,2,1,2,.,16414.387559321243,18420.189905726824,2,142,3,3,0.52,Female,<HS,Spanish
93767,10,2,1,61,.,2,2,1,.,2,.,2,1,6,.,5,1,.,2,2,2,2,2,2,2,2,2,2,3,3,0,0,3,1,4,3,1,2,24569.844826668956,25687.533474461143,1,137,5,5,1.18,Male,College,Spanish
93768,10,2,1,80,.,3,3,2,.,1,2,1,1,.,.,3,1,.,1,2,2,1,2,2,1,2,2,.,2,2,0,0,2,1,4,2,1,2,14720.133930753505,20661.281949264157,2,139,8,8,3.04,Male,HS,English
93769,10,2,1,6,.,5,7,2,84,.,.,1,1,.,0,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,0,2,0,2,3,3,1,2,9054.065721072964,9479.409880052419,1,147,15,15,5,Male,College,English
93770,10,2,1,55,.,2,2,1,.,2,.,2,1,6,.,1,5,.,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,3,1,3,.,16429.695883045824,16779.084072005575,1,138,2,2,0.8,Male,<HS,Spanish
93771,10,2,1,3,.,5,6,2,43,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,7,7,3,1,0,2,2,1,1,2,9642.92675243485,9784.573587333076,1,138,9,9,1.32,Male,<HS,English
93772,10,2,2,55,.,4,4,2,.,2,.,1,1,.,.,3,5,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,3,2,3,.,20129.837359026496,20200.60932648113,1,141,2,2,0.7,Female,HS,English
93773,10,2,1,69,.,3,3,2,.,1,1,1,1,.,.,4,3,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,4,2,2,.,21085.172469613513,22749.071545318686,2,141,2,2,0.39,Male,HS,English
93774,10,2,2,41,.,3,3,1,.,2,.,2,1,2,.,4,1,2,1,2,1,1,2,2,.,.,.,.,3,3,0,0,0,1,3,3,1,2,232377.0526828857,230877.99548945326,1,136,14,14,3.67,Female,College,English
93775,10,2,2,47,.,5,6,1,.,2,.,1,1,.,.,4,1,.,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,2,3,.,3,.,12816.633743001517,13332.11835409252,1,137,12,8,3.73,Female,.,English
93776,10,2,2,32,.,4,4,1,.,2,.,1,1,.,.,3,5,2,1,2,2,1,2,2,1,2,2,1,7,7,3,1,0,2,3,2,2,.,22486.967687123404,21739.54543635427,1,144,10,10,1.18,Female,HS,English
93777,10,2,2,72,.,4,4,1,.,2,.,1,1,.,.,4,3,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,2,4,2,2,.,13094.207629933288,13874.872260507538,1,144,7,7,3.32,Female,HS,English
93778,10,2,2,19,.,4,4,2,233,2,.,1,1,.,15,.,.,.,1,2,2,1,2,2,1,2,2,1,3,3,0,0,1,1,4,2,1,2,21031.996226332292,22288.198135527804,1,141,15,15,5,Female,HS,English
93779,10,2,2,10,.,5,7,1,125,.,.,1,1,.,4,.,.,.,1,1,2,1,2,2,1,2,2,.,6,6,1,2,0,1,3,.,1,.,5688.852757797085,5958.516219289044,1,144,15,15,3.03,Female,.,English
93780,10,2,2,46,.,5,7,2,.,2,.,1,1,.,.,3,1,.,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,3,1,1,2,39418.72937460053,43102.56240770637,1,141,6,6,1.22,Female,<HS,English
93781,10,2,1,32,.,2,2,2,.,2,.,2,2,4,.,1,5,.,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,2,1,3,.,26699.486208895887,28591.32996641948,2,141,5,5,1.65,Male,<HS,Spanish
93782,10,2,2,25,.,4,4,1,.,2,.,1,1,.,.,4,5,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,2,3,3,2,.,35096.116447820335,36032.552468097325,1,143,14,14,4.65,Female,College,English
93783,10,2,2,21,.,2,2,2,.,2,.,2,2,3,.,3,5,2,2,2,2,2,2,2,1,2,2,1,5,5,0,1,0,2,3,1,1,1,56051.72404723616,59166.3008903357,2,141,3,3,0.41,Female,<HS,Spanish
93784,10,2,2,2,.,3,3,2,25,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,5,5,1,1,1,2,4,1,2,.,16932.90455002084,17308.44485891644,2,145,4,4,0.62,Female,<HS,English
93785,10,2,2,80,.,3,3,1,.,2,.,1,1,.,.,5,2,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,2,4,3,2,.,51276.38451348114,55860.33703054365,2,135,10,10,5,Female,College,English
93786,10,1,1,0,3,4,4,.,.,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,1,1,0,2,2,1,3,.,3933.0593494298,0,1,147,3,3,0.52,Male,<HS,English
93787,10,2,2,13,.,5,7,2,168,.,.,1,1,.,7,.,.,.,1,1,2,1,2,2,1,2,2,1,7,7,1,3,0,1,2,2,1,1,11990.764742587624,12763.441562991073,1,145,2,2,0.24,Female,HS,English
93788,10,2,2,66,.,3,3,1,.,2,.,1,1,.,.,5,3,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,4,3,2,.,151138.8881772449,149491.3775883858,1,140,15,15,5,Female,College,English
93789,10,2,2,34,.,3,3,2,.,2,.,1,1,.,.,5,5,2,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,2,3,3,.,260717.5563356546,269609.43379549,2,145,14,14,5,Female,College,English
93790,10,2,2,5,.,5,7,1,65,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,5,5,2,1,0,1,3,3,1,3,9956.353358097833,9091.396647417705,2,148,15,15,5,Female,College,English
93791,10,2,1,20,.,5,7,1,.,2,.,1,1,.,.,4,5,.,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,1,3,2,1,2,18005.920754323328,23976.310876639396,1,137,9,9,2.94,Male,HS,English
93792,10,2,2,31,.,2,2,1,.,2,.,1,1,.,.,4,3,2,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,2,2,2,.,31023.79589273599,34146.69449427869,1,137,1,1,0,Female,HS,English
93793,10,2,1,12,.,1,1,1,148,.,.,1,1,.,6,.,.,.,2,1,2,2,2,2,1,2,2,1,5,5,0,2,0,2,3,1,1,1,17613.383670675077,18248.67867096549,2,136,13,13,.,Male,<HS,Spanish
93794,10,2,2,62,.,5,6,1,.,2,.,2,1,8,.,4,4,.,1,2,2,1,2,2,1,2,2,1,3,3,0,0,1,1,2,3,1,3,11511.940549454366,13092.270804527063,2,148,15,15,4.81,Female,College,English
93795,10,2,1,64,.,4,4,2,.,1,1,1,1,.,.,2,1,.,1,2,2,1,2,2,1,2,2,1,5,5,0,1,1,1,4,1,1,2,4769.614244056053,4579.581001766944,1,147,10,10,2.43,Male,<HS,English
93796,10,2,1,71,.,3,3,1,.,1,2,1,1,.,.,3,2,.,1,2,2,1,2,2,.,.,.,.,1,1,0,0,1,1,4,2,2,.,15858.4593094769,17184.24513861364,1,146,4,4,1.44,Male,HS,English
93797,10,2,2,52,.,3,3,2,.,2,.,1,1,.,.,5,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,3,2,1,3,126587.07519223254,122796.67510682909,1,142,14,14,4.93,Female,HS,English
93798,10,2,2,61,.,4,4,2,.,2,.,1,1,.,.,3,3,.,1,2,2,.,.,.,1,2,2,1,4,4,0,0,3,2,4,.,1,.,27038.251058739705,26414.918121659925,1,145,.,.,.,Female,.,English
93799,10,2,1,41,.,4,4,2,.,2,.,1,1,.,.,3,4,.,1,2,2,1,2,2,1,2,2,1,2,2,0,1,0,1,3,2,2,.,45775.95159268197,46502.33454381539,1,143,14,14,4.62,Male,HS,English
93800,10,2,2,80,.,3,3,2,.,2,.,1,1,.,.,5,3,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,2,4,3,2,.,26840.244575038254,30055.19866166218,1,134,6,6,2.8,Female,College,English
93801,10,2,1,59,.,2,2,2,.,2,.,2,1,6,.,5,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,3,3,1,3,38096.301289535244,41266.91877164101,1,134,15,15,5,Male,College,English
93802,10,2,2,2,.,3,3,2,33,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,1,0,0,2,3,2,2,.,12241.483903118991,12178.580691712215,1,142,2,2,0.47,Female,HS,English
93803,10,2,1,12,.,4,4,2,150,.,.,1,1,.,6,.,.,.,1,1,2,1,2,2,1,2,2,1,6,6,3,1,0,2,2,2,1,2,17766.933550808233,19062.160096978485,1,136,8,8,1.52,Male,HS,English
93804,10,2,1,1,16,3,3,2,16,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,2,0,0,1,2,2,1,.,18061.08047770746,18682.844996976084,2,134,5,5,0.8,Male,HS,English
93805,10,2,2,64,.,3,3,2,.,2,.,1,1,.,.,4,2,.,1,2,2,1,2,2,1,2,2,1,2,1,0,0,2,1,4,2,1,.,45212.47450883704,47363.432538843816,1,145,12,10,5,Female,HS,English
93806,10,2,1,44,.,5,6,1,.,2,.,2,2,2,.,5,1,.,1,2,2,1,2,2,1,2,2,1,7,7,2,1,0,1,3,3,1,2,12687.361104270596,13210.561280767768,1,143,8,8,1.35,Male,College,English
93807,10,2,2,13,.,1,1,1,160,.,.,1,1,.,7,.,.,.,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,3,2,1,3,20418.828135271284,20841.878269400742,2,144,15,15,4.66,Female,HS,English
93808,10,2,1,14,.,3,3,1,179,.,.,1,1,.,8,.,.,.,1,1,2,1,2,2,1,2,2,1,7,7,0,3,0,2,2,2,3,.,34830.96069846493,42963.93160276908,1,146,15,15,3.1,Male,HS,English
93809,10,2,1,1,20,5,7,2,20,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,2,0,0,1,2,2,1,3,12370.428948844898,13733.642122585989,1,141,15,15,4.47,Male,HS,English
93810,10,2,1,13,.,4,4,1,161,.,.,2,2,2,7,.,.,.,1,1,2,.,.,.,1,2,2,1,4,4,0,1,0,1,1,1,.,.,19642.343747186853,20206.9911986719,2,144,.,.,.,Male,<HS,English
93811,10,2,1,24,.,5,6,2,.,2,.,2,2,3,.,4,5,.,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,2,2,2,3,.,19204.13183712644,24977.787807565906,1,136,9,9,2.94,Male,HS,English
93812,10,2,1,67,.,3,3,2,.,2,.,1,1,.,.,5,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,2,2,4,3,1,3,251030.68524145667,276495.95535397617,2,147,14,14,5,Male,College,English
93813,10,2,2,42,.,1,1,1,.,2,.,2,2,99,.,1,4,3,2,2,2,1,2,2,2,2,2,.,6,6,0,1,0,2,3,1,2,.,24105.62847187642,23420.867711321574,2,136,7,7,1.11,Female,<HS,Spanish
93814,10,2,2,41,.,4,4,2,.,2,.,2,1,6,.,5,1,2,1,2,2,1,2,2,1,2,2,1,5,5,0,3,0,1,3,2,1,3,21044.762003829746,27756.33097152111,2,134,15,15,5,Female,HS,English
93815,10,2,2,32,.,5,7,2,.,2,.,1,1,.,.,4,5,2,1,2,2,1,2,2,1,2,2,1,2,2,1,0,0,2,2,2,3,.,11095.79040327823,10948.205344066033,2,145,4,4,1.12,Female,HS,English
93816,10,2,2,80,.,2,2,2,.,2,.,2,2,1,.,1,1,.,2,1,2,2,1,2,.,.,.,.,2,2,0,0,2,2,4,1,1,1,14551.921524152338,15983.149491272174,1,134,1,1,0,Female,<HS,Spanish
93817,10,2,1,55,.,5,6,1,.,2,.,2,2,2,.,5,1,.,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,1,3,3,1,3,11106.045941692815,12353.303243292441,1,137,15,15,5,Male,College,English
93818,10,2,1,14,.,1,1,1,180,.,.,1,1,.,9,.,.,.,1,1,2,2,2,2,1,2,2,1,4,4,0,1,0,1,3,3,1,.,22838.585569801977,23556.905958994328,2,136,14,14,3.88,Male,College,English
93819,10,2,2,63,.,4,4,2,.,2,.,2,1,1,.,3,2,.,1,2,2,1,2,2,1,2,2,1,5,5,0,3,1,2,3,2,.,.,21778.560693544,21208.65336876004,1,141,6,6,0.9,Female,HS,English
93820,10,2,2,11,.,4,4,1,138,.,.,1,1,.,6,.,.,.,1,1,2,1,2,2,1,2,2,.,5,5,0,3,0,2,2,2,1,2,18738.26926846979,19157.061088224636,2,144,8,8,1.7,Female,HS,English
